neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive;predictive biomarker for target?
1;92;0;1;1;0.3268;0;0;196;1;1;1;1;0;1;0.2199;0;1;1;0;0;0;1;0;0;0;15;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.000001;0;3.330778;41788.13941;1.167222;30330.08279;0.903379;400223.9256;0.539564;140664.3919;0;0;0;0;0
1;188;0;1;1;0.1105;0;0;220;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;9.429477;9962.000858;6.890054;4086.127135;0.005148;7971.496236;0.411088;177848.8753;1;0;0;0;0
1;165;0;1;1;0.2432;0;0;8;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000461;1190;0.017606;4425.863018;4.913811;4164.090012;0.000001;0.838441;0.055864;51200.13042;1;0;1;1;0
1;204;1;1;1;0.1407;0;0;8;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;13;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0.003745;726.334496;0.000461;1190;0.13008;603.02302;4.913811;4164.090012;0.167315;40590.79362;0.055864;51200.13042;1;0;1;0;0
1;260;0;1;1;0.0499;0;0;8;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;18;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0.000461;1190;31.696093;13372.05492;4.913811;4164.090012;0.204208;101158.5642;0.055864;51200.13042;1;1;1;1;0
1;92;0;1;1;0.3268;0;0;8;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;24;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0.000461;1190;3.330778;41788.13941;4.913811;4164.090012;0.903379;400223.9256;0.055864;51200.13042;0;0;0;0;0
1;173;0;0;1;0.1202;0;0;28;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.00004;93.782226;0;0;0.026531;6668.564124;0.086701;144284.8318;0.035437;28917.54922;1;1;1;0;0
1;92;0;1;1;0.3268;0;0;28;1;1;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0.00004;93.782226;3.330778;41788.13941;0.026531;6668.564124;0.903379;400223.9256;0.035437;28917.54922;0;0;0;0;0
1;169;0;0;1;0.4792;0;0;28;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.00004;93.782226;0;0;0.026531;6668.564124;0.336092;10067.33047;0.035437;28917.54922;1;1;1;0;0
1;64;1;1;1;0.5502;0;0;40;1;1;1;0;1;1;0.0896;1;1;1;1;0;0;1;0;0;0;4;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000053;931.230906;0.000031;431.695785;5.214142;3706.393474;1.343118;2539.325414;0.003197;4314.5228;0.010484;80542.94081;1;1;1;1;0
1;64;1;1;1;0.5502;0;0;13;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;0;0;42;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000053;931.230906;0.001371;7745.244079;5.214142;3706.393474;0.668514;195725.6435;0.003197;4314.5228;0.942425;284291.8298;1;1;1;1;0
