neighbour IDP?;neighbour code;neighbour in CSN;neighbour in SIGNOR;neighbour in ReactomeFI;neighbour disorder content;neighbour preclinical target;neighbour MCG target;target code;target in CSN;target in SIGNOR;target in ReactomeFI;target of small molecule;target of antibody;targetneighbour;target disorder content;both in CSN;both in SIGNOR;both in ReactomeFI;both in all 3;in triangle - CSN;in  triangle - SIGNOR;in  triangle - ReactomeFI;not in any triangle;no. of triangles - CSN;no. of triangles - SIGNOR;no. of triangles - ReactomeFI;no. of in cycle - CSN;no. of in  cycle - SIGNOR;no. of in  cycle - ReactomeFI;no. of in unbalanced triangle - CSN;no. of in  unbalanced triangle - SIGNOR;no. of in  unbalanced triangle - ReactomeFI;neighbour – target inhibition - CSN;target – neighbour stimulation - CSN;neighbour – target stimulation - CSN;target – neighbour inhibition - CSN;neighbour – target inhibition - SIGNOR;target – neighbour stimulation - SIGNOR;neighbour – target stimulation - SIGNOR;target – neighbour inhibition - SIGNOR;neighbour – target inhibition - ReactomeFI;target – neighbour stimulation - ReactomeFI;neighbour – target stimulation - ReactomeFI;target – neighbour inhibition - ReactomeFI;neighbour third partner - CSN;target third partner - CSN;neighbour third partner - SIGNOR;target third partner - SIGNOR;neighbour third partner - ReactomeFI;target third partner - ReactomeFI;neighbour bridgeness - CSN;neighbour betweenness - CSN;target bridgeness - CSN;target betweenness - CSN;neighbour bridgeness - SIGNOR;neighbour betweenness - SIGNOR;target bridgeness - SIGNOR;target betweenness - SIGNOR;neighbour bridgeness - ReactomeFI;neighbour betweenness - ReactomeFI;target bridgeness - ReactomeFI;target betweenness - ReactomeFI;prognostic;predisposing;diagnostic;predictive
1;106;1;1;1;0.0414;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;29;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.000215;762.399806;0;0;109.596942;48738.69735;4.153857;37.129494;0.226718;152814.2476;0.01371;7157.817077;1;1;1;0
1;110;1;1;1;0.0703;0;0;89;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;23;0;0;4;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0.025377;20673.27086;0;0;99.554448;69869.81168;4.153857;37.129494;0.046798;120532.0675;0.01371;7157.817077;1;1;0;0
1;137;0;0;1;0.3333;0;1;89;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;6;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;4.153857;37.129494;0.007312;6021.974584;0.01371;7157.817077;1;0;1;1
1;133;0;1;1;1;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;6;0;0;5;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;38.650917;80322.10555;8.567216;16370.93424;0.259443;69466.68237;0.015694;6640.645314;1;1;1;1
1;115;1;1;1;0.2971;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.184184;22018.13763;0;0;130.857201;333991.4556;8.567216;16370.93424;2.64786;1098316.382;0.015694;6640.645314;1;1;1;1
1;55;1;1;1;0.0764;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;32;0;0;9;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.635562;0;0;0;0.219632;1051.065709;8.567216;16370.93424;0.068347;15869.1681;0.015694;6640.645314;1;1;1;1
1;26;0;1;1;0.1058;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;48;0;0;14;0;0;;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;22.049491;50254.39348;8.567216;16370.93424;3.770542;404892.1513;0.015694;6640.645314;1;1;1;1
1;142;1;1;1;0.0435;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;38;0;0;8;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0.000869;3973.124923;0;0;10.891252;29876.14152;8.567216;16370.93424;0.032085;19465.83086;0.015694;6640.645314;1;1;1;0
1;96;0;1;1;0.0989;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;15;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.000035;0;8.567216;16370.93424;0.004279;9570.114402;0.015694;6640.645314;1;1;1;1
1;27;0;1;1;0.0581;0;0;118;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;0;17;0;0;1;0;0;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0.007034;0.563147;8.567216;16370.93424;0.220252;37360.07752;0.015694;6640.645314;1;1;1;1
